,code,name,c_name
241,000506,中润资源,黄河三角
242,000639,西王食品,黄河三角
243,000655,金岭矿业,黄河三角
244,000677,恒天海龙,黄河三角
245,000682,东方电子,黄河三角
246,000726,鲁 泰Ａ,黄河三角
247,000739,普洛药业,黄河三角
248,000756,新华制药,黄河三角
249,000811,烟台冰轮,黄河三角
250,000822,山东海化,黄河三角
251,000869,张 裕Ａ,黄河三角
252,000880,潍柴重机,黄河三角
253,002041,登海种业,黄河三角
254,002072,凯瑞德,黄河三角
255,002083,孚日股份,黄河三角
256,002086,东方海洋,黄河三角
257,002107,沃华医药,黄河三角
258,002217,合力泰,黄河三角
259,002242,九阳股份,黄河三角
260,002254,泰和新材,黄河三角
261,002270,华明装备,黄河三角
262,002353,杰瑞股份,黄河三角
263,002355,兴民智通,黄河三角
264,002359,齐星铁塔,黄河三角
265,002363,隆基机械,黄河三角
266,002374,丽鹏股份,黄河三角
267,002376,新北洋,黄河三角
268,002379,*ST鲁丰,黄河三角
269,002382,蓝帆医疗,黄河三角
270,002408,齐翔腾达,黄河三角
271,002458,益生股份,黄河三角
272,002469,三维工程,黄河三角
273,002470,金正大,黄河三角
274,002476,宝莫股份,黄河三角
275,002481,双塔食品,黄河三角
276,002485,希努尔,黄河三角
277,002490,山东墨龙,黄河三角
278,002498,汉缆股份,黄河三角
279,002521,齐峰新材,黄河三角
280,002526,山东矿机,黄河三角
281,002537,海立美达,黄河三角
282,002545,东方铁塔,黄河三角
283,002580,圣阳股份,黄河三角
284,002581,未名医药,黄河三角
285,002588,史丹利,黄河三角
286,002589,瑞康医药,黄河三角
287,002595,豪迈科技,黄河三角
288,002598,山东章鼓,黄河三角
289,002604,龙力生物,黄河三角
290,002643,万润股份,黄河三角
291,002655,共达电声,黄河三角
292,002671,龙泉股份,黄河三角
293,002675,东诚药业,黄河三角
294,300099,尤洛卡,黄河三角
295,300105,龙源技术,黄河三角
296,300110,华仁药业,黄河三角
297,300121,阳谷华泰,黄河三角
298,300175,朗源股份,黄河三角
299,300183,东软载波,黄河三角
300,300185,通裕重工,黄河三角
301,300208,恒顺众昇,黄河三角
302,300214,日科化学,黄河三角
303,300224,正海磁材,黄河三角
304,300233,金城医药,黄河三角
305,300237,美晨科技,黄河三角
306,300243,瑞丰高材,黄河三角
307,300285,国瓷材料,黄河三角
308,300308,中际装备,黄河三角
309,300321,同大股份,黄河三角
310,300343,联创互联,黄河三角
311,600190,锦州港,振兴沈阳
312,600233,圆通速递,振兴沈阳
313,600297,广汇汽车,振兴沈阳
314,600303,曙光股份,振兴沈阳
315,600317,营口港,振兴沈阳
316,600346,恒力股份,振兴沈阳
317,600396,金山股份,振兴沈阳
318,600593,大连圣亚,振兴沈阳
319,600694,大商股份,振兴沈阳
320,600715,文投控股,振兴沈阳
321,600718,东软集团,振兴沈阳
322,600719,大连热电,振兴沈阳
323,600747,大连控股,振兴沈阳
324,600795,国电电力,振兴沈阳
325,000059,华锦股份,振兴沈阳
326,000410,沈阳机床,振兴沈阳
327,000511,*ST烯碳,振兴沈阳
328,000530,大冷股份,振兴沈阳
