,code,name
456,600816,安信信托
457,600815,厦工股份
458,600814,杭州解百
459,600812,华北制药
460,600811,东方集团
461,600810,神马股份
462,600809,山西汾酒
463,600808,马钢股份
464,600807,天业股份
465,600805,悦达投资
466,600804,鹏博士
467,600803,新奥股份
468,600802,福建水泥
469,600801,华新水泥
470,600800,天津磁卡
471,600798,宁波海运
472,600797,浙大网新
473,600796,钱江生化
474,600795,国电电力
475,600794,保税科技
476,600793,宜宾纸业
477,600792,云煤能源
478,600791,京能置业
479,600790,轻纺城
480,600789,鲁抗医药
481,600787,中储股份
482,600785,新华百货
483,600784,鲁银投资
484,600783,鲁信创投
485,600782,新钢股份
486,600781,辅仁药业
487,600780,通宝能源
488,600779,水井坊
489,600778,友好集团
490,600777,新潮能源
491,600776,东方通信
492,600775,南京熊猫
493,600774,汉商集团
494,600773,西藏城投
495,600771,广誉远
496,600770,综艺股份
497,600769,祥龙电业
498,600768,宁波富邦
499,600767,运盛医疗
500,600766,园城黄金
501,600765,中航重机
502,600764,中电广通
503,600763,通策医疗
504,600761,安徽合力
505,600759,洲际油气
506,600758,红阳能源
507,600757,长江传媒
508,600756,浪潮软件
509,600755,厦门国贸
510,600754,锦江股份
511,600753,东方银星
512,600751,天海投资
513,600750,江中药业
514,600749,西藏旅游
515,600748,上实发展
516,600747,大连控股
517,600746,江苏索普
518,600745,中茵股份
519,600744,华银电力
520,600743,华远地产
521,600742,一汽富维
522,600741,华域汽车
523,600740,山西焦化
524,600739,辽宁成大
525,600738,兰州民百
526,600737,中粮屯河
527,600736,苏州高新
528,600735,新华锦
529,600734,实达集团
530,600733,S前锋
531,600731,湖南海利
532,600730,中国高科
533,600729,重庆百货
534,600728,佳都科技
535,600727,鲁北化工
536,600726,华电能源
537,600724,宁波富达
538,600723,首商股份
539,600722,金牛化工
540,600720,祁连山
541,600719,大连热电
542,600718,东软集团
543,600717,天津港
544,600716,凤凰股份
545,600715,文投控股
546,600714,金瑞矿业
547,600713,南京医药
548,600712,南宁百货
549,600711,盛屯矿业
550,600708,光明地产
551,600707,彩虹股份
552,600706,曲江文旅
553,600705,中航资本
554,600704,物产中大
555,600703,三安光电
556,600702,沱牌舍得
557,600699,均胜电子
558,600698,湖南天雁
559,600697,欧亚集团
560,600696,匹凸匹
561,600695,绿庭投资
562,600694,大商股份
563,600693,东百集团
564,600692,亚通股份
565,600691,阳煤化工
566,600690,青岛海尔
567,600689,上海三毛
568,600688,上海石化
569,600687,刚泰控股
570,600686,金龙汽车
571,600685,中船防务
572,600684,珠江实业
573,600683,京投发展
574,600682,南京新百
575,600681,百川能源
576,600680,上海普天
577,600679,上海凤凰
578,600678,四川金顶
579,600677,航天通信
580,600676,交运股份
581,600674,川投能源
582,600673,东阳光科
583,600671,天目药业
584,600668,尖峰集团
585,600667,太极实业
586,600666,奥瑞德
587,600665,天地源
588,600664,哈药股份
589,600663,陆家嘴
590,600662,强生控股
591,600661,新南洋
592,600660,福耀玻璃
593,600658,电子城
594,600657,信达地产
595,600655,豫园商城
596,600654,中安消
597,600653,申华控股
598,600652,游久游戏
599,600651,飞乐音响
600,600650,锦江投资
601,600649,城投控股
602,600648,外高桥
603,600647,同达创业
604,600645,中源协和
