,code,name,c_name
155,300090,盛运环保,机械行业
156,300091,金通灵,机械行业
157,300092,科新机电,机械行业
158,300095,华伍股份,机械行业
159,300103,达刚路机,机械行业
160,300116,坚瑞沃能,机械行业
161,300126,锐奇股份,机械行业
162,300145,中金环境,机械行业
163,300151,昌红科技,机械行业
164,300152,科融环境,机械行业
165,300159,新研股份,机械行业
166,300161,华中数控,机械行业
167,300173,智慧松德,机械行业
168,300185,通裕重工,机械行业
169,300193,佳士科技,机械行业
170,300195,长荣股份,机械行业
171,300201,海伦哲,机械行业
172,300202,聚龙股份,机械行业
173,300210,森远股份,机械行业
174,300228,富瑞特装,机械行业
175,300249,依米康,机械行业
176,300257,开山股份,机械行业
177,300260,新莱应材,机械行业
178,300263,隆华节能,机械行业
179,300266,兴源环境,机械行业
180,300272,开能环保,机械行业
181,300276,三丰智能,机械行业
182,300278,华昌达,机械行业
183,300280,南通锻压,机械行业
184,300281,金明精机,机械行业
185,300293,蓝英装备,机械行业
186,300307,慈星股份,机械行业
187,300308,中际装备,机械行业
188,300309,吉艾科技,机械行业
189,300316,晶盛机电,机械行业
190,300334,津膜科技,机械行业
191,300358,楚天科技,机械行业
192,300362,天翔环境,机械行业
193,300368,汇金股份,机械行业
194,300382,斯莱克,机械行业
195,300385,雪浪环境,机械行业
196,300391,康跃科技,机械行业
197,300400,劲拓股份,机械行业
198,300402,宝色股份,机械行业
199,300411,金盾股份,机械行业
200,300415,伊之密,机械行业
201,300420,五洋科技,机械行业
202,300421,力星股份,机械行业
203,300425,环能科技,机械行业
204,300427,红相电力,机械行业
205,300434,金石东方,机械行业
206,300435,中泰股份,机械行业
207,300441,鲍斯股份,机械行业
208,300442,普丽盛,机械行业
209,300443,金雷风电,机械行业
210,600176,中国巨石,玻璃行业
211,600184,光电股份,玻璃行业
212,600293,三峡新材,玻璃行业
213,600529,山东药玻,玻璃行业
214,600552,凯盛科技,玻璃行业
215,600586,金晶科技,玻璃行业
216,600629,华建集团,玻璃行业
217,600819,耀皮玻璃,玻璃行业
218,600876,洛阳玻璃,玻璃行业
219,601636,旗滨集团,玻璃行业
220,603021,山东华鹏,玻璃行业
221,603601,再升科技,玻璃行业
222,000012,南 玻Ａ,玻璃行业
223,002571,德力股份,玻璃行业
224,002623,亚玛顿,玻璃行业
225,300093,金刚玻璃,玻璃行业
226,300160,秀强股份,玻璃行业
227,300196,长海股份,玻璃行业
228,300395,菲利华,玻璃行业
