index,open_interest,total_turnover,open,limit_up,volume,high,trading_date,limit_down,close,basis_spread,low
2013-11-11 09:45:00,2135348.0,2553498320.0,3625.123,3790.4,70230.0,3625.375,2013-11-11,3502.354,3619.358,,3617.695
2013-11-11 10:00:00,2141634.0,2515468920.0,3619.104,3790.496,69202.0,3622.386,2013-11-11,3502.389,3618.369,,3616.032
2013-11-11 10:15:00,2140070.0,1306609320.0,3618.58,3790.492,35940.0,3622.365,2013-11-11,3502.449,3619.809,,3617.041
2013-11-11 10:45:00,2141724.0,1548001260.0,3619.854,3790.626,42720.0,3621.519,2013-11-11,3502.465,3615.961,,3615.961
2013-11-11 11:00:00,2145740.0,1253696660.0,3616.651,3790.693,34494.0,3620.623,2013-11-11,3502.624,3618.177,,3614.951
2013-11-11 11:15:00,2145924.0,1547541480.0,3618.172,3790.682,42582.0,3622.306,2013-11-11,3502.619,3621.524,,3617.468
2013-11-11 11:30:00,2123046.0,3338719540.0,3621.302,3790.664,91640.0,3627.506,2013-11-11,3502.46,3626.967,,3619.348
2013-11-11 13:45:00,2116618.0,11062875340.0,3626.951,3790.331,302326.0,3645.192,2013-11-11,3502.35,3641.859,,3626.951
2013-11-11 14:00:00,2134556.0,4297364440.0,3642.164,3790.595,117248.0,3647.395,2013-11-11,3502.57,3645.07,,3640.391
2013-11-11 14:15:00,2138024.0,3117656480.0,3645.145,3790.641,85086.0,3647.649,2013-11-11,3502.828,3647.649,,3642.006
2013-11-11 14:30:00,2142092.0,3652492620.0,3647.2,3790.681,99614.0,3651.612,2013-11-11,3502.868,3649.961,,3643.334
2013-11-11 14:45:00,2144726.0,3491368820.0,3649.919,3790.668,95220.0,3650.915,2013-11-11,3502.89,3647.578,,3645.538
2013-11-11 15:00:00,2118736.0,5511713380.0,3647.581,3790.733,150310.0,3648.501,2013-11-11,3502.945,3642.658,,3640.279
2013-11-12 09:15:00,2140832.0,7823034320.0,3644.172,3777.752,213100.0,3655.57,2013-11-12,3486.363,3651.346,,3642.54
2013-11-12 09:30:00,2137064.0,6650984540.0,3652.018,3777.779,181426.0,3652.765,2013-11-12,3486.494,3639.423,,3636.951
2013-11-12 09:45:00,2162778.0,5168953900.0,3639.198,3778.057,141236.0,3644.108,2013-11-12,3486.603,3642.46,,3633.851
2013-11-12 10:00:00,2159142.0,2585945920.0,3643.167,3778.082,70600.0,3644.23,2013-11-12,3486.829,3641.321,,3636.584
2013-11-12 10:15:00,2159972.0,1194489520.0,3641.579,3778.066,32652.0,3641.579,2013-11-12,3486.838,3638.294,,3636.514
2013-11-12 10:45:00,2162884.0,3198334380.0,3637.694,3778.128,87520.0,3639.499,2013-11-12,3486.865,3637.747,,3632.885
2013-11-12 11:00:00,2166352.0,3164085640.0,3638.202,3778.164,86412.0,3643.887,2013-11-12,3486.92,3640.984,,3634.571
2013-11-12 11:15:00,2165502.0,1163379860.0,3641.735,3778.182,31792.0,3641.98,2013-11-12,3486.965,3638.444,,3638.346
2013-11-12 11:30:00,2155568.0,2894245860.0,3639.02,3778.164,79030.0,3644.305,2013-11-12,3486.913,3643.608,,3636.329
2013-11-12 13:45:00,2164628.0,5510557940.0,3645.279,3778.283,150226.0,3651.159,2013-11-12,3486.921,3646.089,,3642.318
2013-11-12 14:00:00,2168622.0,1612452060.0,3645.199,3778.387,43958.0,3647.294,2013-11-12,3487.078,3646.535,,3644.294
2013-11-12 14:15:00,2169054.0,1204776580.0,3646.523,3778.414,32872.0,3648.964,2013-11-12,3487.157,3647.801,,3644.844
2013-11-12 14:30:00,2170026.0,1692908520.0,3647.828,3778.472,46136.0,3648.769,2013-11-12,3487.221,3646.858,,3644.278
2013-11-12 14:45:00,2169120.0,1929032020.0,3646.859,3778.546,52582.0,3650.005,2013-11-12,3487.235,3645.222,,3644.91
2013-11-12 15:00:00,2141850.0,3700255640.0,3645.225,3778.545,100942.0,3646.529,2013-11-12,3487.183,3643.332,,3642.428
2013-11-13 09:15:00,2148830.0,9046077260.0,3635.203,3789.139,246934.0,3648.928,2013-11-13,3497.642,3647.942,,3628.0
2013-11-13 09:30:00,2168618.0,5254096060.0,3648.287,3789.529,143202.0,3650.67,2013-11-13,3497.951,3647.045,,3643.786
2013-11-13 09:45:00,2158396.0,2639923960.0,3646.186,3789.538,72026.0,3647.935,2013-11-13,3498.228,3642.214,,3642.183
